"NVariables","Variables","Profit","Accuracy","NumBets","TrainingDataSize","Threshold"
3,"MFTHGt , MFTAGm , OddO2.5",310,0.584632034632035,6,"Min",2.9
3,"MFTHGt , MFTHGm , OddO2.5",86.9999999999999,0.644268077601411,6,"Min",2.9
3,"MFTAGm , MFTHGm , OddO2.5",878,0.624654377880184,6,"Min",2.9
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",422,0.629320987654321,6,"Min",2.9
4,"MFTAGt , MFTHGt , MFTAGm , OddO2.5",450,0.629885057471264,6,"Min",2.9
4,"MFTAGt , MFTHGt , MFTHGm , OddO2.5",954,0.714115646258503,6,"Min",2.9
4,"MFTAGt , MFTAGm , MFTHGm , OddO2.5",302,0.611479591836735,6,"Min",2.9
4,"MFTHGt , MFTAGm , MFTHGm , OddO2.5",186,0.581597222222222,6,"Min",2.9
5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5",466,0.627336860670194,6,"Min",2.9
1,"MFTAGt",598,0.598550724637681,1,"Low",2.9
1,"MFTHGt",-126,0.541666666666667,1,"Low",2.9
1,"MFTAGm",-203,0.564814814814815,1,"Low",2.9
1,"MFTHGm",170,0.608695652173913,1,"Low",2.9
1,"OddO2.5",-879,0.392857142857143,1,"Low",2.9
2,"MFTAGt , MFTHGt",199,0.579365079365079,1,"Low",2.9
2,"MFTAGt , MFTAGm",321,0.626984126984127,1,"Low",2.9
2,"MFTAGt , MFTHGm",157,0.605072463768116,1,"Low",2.9
2,"MFTAGt , OddO2.5",915,0.572916666666667,1,"Low",2.9
2,"MFTHGt , MFTAGm",102,0.560606060606061,1,"Low",2.9
2,"MFTHGt , MFTHGm",226,0.637254901960784,1,"Low",2.9
2,"MFTHGt , OddO2.5",271,0.572916666666667,1,"Low",2.9
2,"MFTAGm , MFTHGm",593,0.603174603174603,1,"Low",2.9
2,"MFTAGm , OddO2.5",-282,0.555555555555556,1,"Low",2.9
2,"MFTHGm , OddO2.5",325,0.565972222222222,1,"Low",2.9
3,"MFTAGt , MFTHGt , MFTAGm",-126,0.55,1,"Low",2.9
3,"MFTAGt , MFTHGt , MFTHGm",830,0.703703703703704,1,"Low",2.9
3,"MFTAGt , MFTHGt , OddO2.5",299,0.608333333333333,1,"Low",2.9
3,"MFTAGt , MFTAGm , MFTHGm",-200,0.583333333333333,1,"Low",2.9
3,"MFTAGt , MFTAGm , OddO2.5",431,0.633333333333333,1,"Low",2.9
3,"MFTAGt , MFTHGm , OddO2.5",86.9999999999999,0.534722222222222,1,"Low",2.9
3,"MFTHGt , MFTAGm , MFTHGm",173,0.566666666666667,1,"Low",2.9
3,"MFTHGt , MFTAGm , OddO2.5",1.99999999999999,0.512820512820513,1,"Low",2.9
3,"MFTHGt , MFTHGm , OddO2.5",226,0.637254901960784,1,"Low",2.9
3,"MFTAGm , MFTHGm , OddO2.5",521,0.603174603174603,1,"Low",2.9
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",93,0.627450980392157,1,"Low",2.9
4,"MFTAGt , MFTHGt , MFTAGm , OddO2.5",170,0.640350877192982,1,"Low",2.9
4,"MFTAGt , MFTHGt , MFTHGm , OddO2.5",793,0.731481481481482,1,"Low",2.9
4,"MFTAGt , MFTAGm , MFTHGm , OddO2.5",33,0.592592592592593,1,"Low",2.9
4,"MFTHGt , MFTAGm , MFTHGm , OddO2.5",-19,0.535714285714286,1,"Low",2.9
5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5",203,0.627450980392157,1,"Low",2.9
1,"MFTAGt",148,0.547619047619048,1,"Med",2.9
1,"MFTHGt",-250,0.416666666666667,1,"Med",2.9
1,"MFTAGm",132,0.666666666666667,1,"Med",2.9
1,"MFTHGm",1224,0.846153846153846,1,"Med",2.9
1,"OddO2.5",-600,0.366666666666667,1,"Med",2.9
2,"MFTAGt , MFTHGt",-324,0.5,1,"Med",2.9
2,"MFTAGt , MFTAGm",107,0.636363636363636,1,"Med",2.9
2,"MFTAGt , MFTHGm",706,0.75,1,"Med",2.9
