"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Med","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Low",-1195,0.435369939038417
"Med","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Max",93.6666666666666,0.485119047619048
"Med","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Med",-120,0.457354351997209
"Med","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Min",-1921,0.439188099482217
"Med","MFTAGt , MFTHGt , MFTHGm","Low",-373,0.548743386243386
"Med","MFTAGt , MFTHGt , MFTHGm","Max",37.6666666666667,0.647619047619048
"Med","MFTAGt , MFTHGt , MFTHGm","Med",327,0.681179138321996
"Med","MFTAGt , MFTHGt , MFTHGm","Min",-742.666666666667,0.54827847805789
"Med","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Low",-748,0.497465924775707
"Med","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Max",72,0.571527777777778
"Med","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Med",158.333333333333,0.536875690447119
"Med","MFTAGt , MFTHGt , MFTHGm , OddO2.5","Min",-1059,0.503763828763829
"Med","MFTAGt , MFTHGt , OddO2.5","Low",-1265,0.435060098918795
"Med","MFTAGt , MFTHGt , OddO2.5","Max",1.33333333333332,0.433796296296296
"Med","MFTAGt , MFTHGt , OddO2.5","Med",-156.666666666667,0.466287284144427
"Med","MFTAGt , MFTHGt , OddO2.5","Min",-2084.33333333333,0.43474025974026
"Med","MFTAGt , OddO2.5","Low",-1075.66666666667,0.438469059121233
"Med","MFTAGt , OddO2.5","Max",1.33333333333332,0.433796296296296
"Med","MFTAGt , OddO2.5","Med",-79.6666666666667,0.469684283969998
"Med","MFTAGt , OddO2.5","Min",-1631,0.448757886993181
"Med","MFTHGm","Low",-306.666666666667,0.616759702286018
"Med","MFTHGm","Max",93.3333333333333,0.701388888888889
"Med","MFTHGm","Med",372.666666666667,0.731213231213231
"Med","MFTHGm","Min",-489,0.601010575021629
"Med","MFTHGm , OddO2.5","Low",-491.666666666667,0.499701378868046
"Med","MFTHGm , OddO2.5","Max",105.666666666667,0.621230158730159
"Med","MFTHGm , OddO2.5","Med",432.666666666667,0.5447940287226
"Med","MFTHGm , OddO2.5","Min",-1278.33333333333,0.499573023653906
"Med","MFTHGt","Low",-501.333333333333,0.52866344605475
"Med","MFTHGt","Max",66.6666666666667,0.768055555555556
"Med","MFTHGt","Med",271.666666666667,0.575
"Med","MFTHGt","Min",-823.333333333333,0.476583810454778
"Med","MFTHGt , MFTAGm","Low",-644.666666666667,0.457903439153439
"Med","MFTHGt , MFTAGm","Max",95,0.798412698412698
"Med","MFTHGt , MFTAGm","Med",116.666666666667,0.560657596371882
"Med","MFTHGt , MFTAGm","Min",-1057,0.497961088475794
"Med","MFTHGt , MFTAGm , MFTHGm","Low",-597.666666666667,0.512364718614719
"Med","MFTHGt , MFTAGm , MFTHGm","Max",28.3333333333333,0.753769841269841
"Med","MFTHGt , MFTAGm , MFTHGm","Med",264.333333333333,0.672562358276644
"Med","MFTHGt , MFTAGm , MFTHGm","Min",-900,0.548431594860166
"Med","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-1251.33333333333,0.470768154282647
"Med","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",-67,0.595833333333333
"Med","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",-199,0.500539275539276
"Med","MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-2031,0.478533585151232
"Med","MFTHGt , MFTAGm , OddO2.5","Low",-1110,0.44823249750786
"Med","MFTHGt , MFTAGm , OddO2.5","Max",149.666666666667,0.557539682539683
"Med","MFTHGt , MFTAGm , OddO2.5","Med",113.333333333333,0.490743647886505
"Med","MFTHGt , MFTAGm , OddO2.5","Min",-1763.33333333333,0.453738010355657
"Med","MFTHGt , MFTHGm","Low",-390.333333333333,0.534060846560847
"Med","MFTHGt , MFTHGm","Max",32.3333333333333,0.642063492063492
"Med","MFTHGt , MFTHGm","Med",305.666666666667,0.649659863945578
"Med","MFTHGt , MFTHGm","Min",-759,0.538041181384835
"Med","MFTHGt , MFTHGm , OddO2.5","Low",-418.333333333333,0.506553130511464
"Med","MFTHGt , MFTHGm , OddO2.5","Max",38,0.606944444444444
"Med","MFTHGt , MFTHGm , OddO2.5","Med",453.666666666667,0.549428382464097
"Med","MFTHGt , MFTHGm , OddO2.5","Min",-1048.33333333333,0.507626488095238
"Med","MFTHGt , OddO2.5","Low",-841.333333333333,0.452792874396135
"Med","MFTHGt , OddO2.5","Max",94,0.484391534391534
"Med","MFTHGt , OddO2.5","Med",106,0.488941217512646
"Med","MFTHGt , OddO2.5","Min",-1749,0.441362386705524
"Med","OddO2.5","Low",-661,0.454001322751323
"Med","OddO2.5","Max",42.6666666666666,0.444444444444444
"Med","OddO2.5","Med",123,0.483185068899355
"Med","OddO2.5","Min",-1564,0.450769600769601
"Max","MFTAGm","Low",-323.666666666667,0.413888888888889
"Max","MFTAGm","Max",63.6666666666667,NA
"Max","MFTAGm","Med",125.666666666667,NA
"Max","MFTAGm","Min",-372,0.528119920807829
